# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

p 2 21 1000 35 10438 1866
b 3 0 1056 0 3086 1379
b 3 0 1056 0 3082 1479
p 2 28 1005 23 10630 1797
b 3 0 1056 0 2567 1343
b 3 0 1056 0 2250 1307
p 2 15 1024 17 9209 1722
b 3 0 1056 0 1393 834
b 3 0 1056 0 1540 1049
p 2 2 1051 3 9838 1688
b 3 0 1056 0 1615 1158
b 3 0 1056 0 1806 1308
p 2 0 1045 11 8010 1712
b 3 0 1056 0 1647 1141
b 3 0 1056 0 1547 1083
p 2 1 977 78 6172 1498
b 3 0 1056 0 1591 1151
b 3 0 1056 0 1204 862
p 2 1 952 103 4684 1389
b 3 0 1056 0 1205 897
b 3 0 1056 0 958 652
p 2 0 967 89 4787 1338
b 3 0 1056 0 1195 921
b 3 0 1056 0 928 708
p 2 0 942 114 4674 1308
b 3 0 1056 0 1172 957
b 3 0 1056 0 834 646
p 2 0 994 62 4397 1315
b 3 0 1056 0 1304 1055
b 3 0 1056 0 1066 846
p 2 0 947 109 4786 1302
b 3 0 1056 0 1074 909
b 3 0 1056 0 757 596
p 2 0 1045 11 4914 1378
b 3 0 1056 0 1215 1053
b 3 0 1056 0 761 677
p 2 0 1042 14 5034 1332
b 3 0 1056 0 653 621
b 3 0 1056 0 631 617
p 2 0 947 109 3652 1277
b 3 0 1056 0 840 816
b 3 0 1056 0 770 763
p 2 0 858 198 2956 1190
b 3 0 1056 0 720 645
b 3 0 1056 0 706 663
p 2 0 860 196 3263 1218
b 3 0 1056 0 866 798
b 3 0 1056 0 793 742
p 2 0 843 213 2913 1181
b 3 0 1056 0 977 866
b 3 0 1056 0 856 800
p 2 0 910 146 3454 1216
b 3 0 1056 0 961 888
b 3 0 1056 0 686 634
p 2 0 812 244 3203 1169
b 3 0 1056 0 539 502
b 3 0 1056 0 496 463
p 2 0 794 262 2846 1143
b 3 0 1056 0 789 719
b 3 0 1056 0 656 619
p 2 0 756 300 2759 1143
b 3 0 1056 0 1037 941
b 3 0 1056 0 512 488
p 2 0 916 140 3060 1204
b 3 0 1056 0 710 678
b 3 0 1056 0 621 598
p 2 0 827 229 3161 1164
b 3 0 1056 0 633 610
b 3 0 1056 0 640 602
p 2 0 870 186 3163 1182
b 3 0 1056 0 948 845
b 3 0 1056 0 595 573
p 2 0 804 252 2589 1141
b 3 0 1056 0 517 508
b 3 0 1056 0 505 485
p 2 0 832 224 2410 1158
b 3 0 1056 0 688 659
b 3 0 1056 0 683 659
p 2 0 744 312 2284 1118
b 3 0 1056 0 748 728
b 3 0 1056 0 448 426
p 2 0 852 204 2556 1141
b 3 0 1056 0 565 560
