PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,Engagement
0,0,0,30,1,32,12,41,26,12,37,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,30,1,4,1,10,2,1,8,8,2,1,2,2,1,2,8,2,1,1,2,1,1,8,1
0,0,0,30,1,5,1,11,4,1,11,10,7,1,19,8,1,20,14,10,2,17,8,2,15,18,2
0,0,0,30,1,17,6,17,16,4,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,30,1,0,0,0,0,0,0,1,7,3,4,6,3,4,12,2,0,1,1,0,1,5,3
0,0,0,30,1,6,2,6,5,2,6,9,6,2,2,6,2,2,12,5,1,3,4,1,3,10,2
0,0,1,25,1,9,3,5,9,3,5,19,0,0,0,0,0,0,5,12,2,8,9,2,8,19,1
0,0,1,25,1,19,1,20,18,1,20,28,14,5,10,12,5,11,25,11,2,7,11,2,6,18,1
0,0,1,25,1,9,0,10,9,0,9,17,4,0,5,5,0,5,11,4,0,6,5,0,6,11,2
0,0,1,25,1,13,2,13,13,2,13,20,10,2,9,8,2,8,18,10,0,9,10,0,7,16,2
0,0,1,25,1,3,0,4,3,0,4,9,1,0,2,1,0,2,8,1,0,1,1,0,0,6,3
0,0,1,25,1,12,5,15,12,5,15,23,10,3,9,9,3,8,17,11,2,10,9,2,8,18,2
0,0,1,25,1,0,0,0,0,0,0,2,3,0,2,4,0,3,8,11,1,8,14,1,8,19,4
0,0,1,25,1,3,0,6,3,0,6,5,5,1,3,6,1,2,11,5,1,3,5,1,3,8,2
0,0,0,23,1,13,0,11,11,0,10,15,5,0,9,5,0,9,12,6,0,1,6,0,2,8,1
