PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,EngFruChal
0,0,1,29,1,7,2,6,7,2,6,15766,15,3,21,15,3,21,46047,26,10,30,24,10,29,67203,303
0,0,1,29,1,17,1,36,16,1,35,54938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
0,0,1,26,0,33,19,55,32,19,57,62750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
0,0,1,26,0,9,1,8,10,1,7,13828,11,3,11,11,3,12,23376,5,1,4,4,1,3,9751,121
0,0,1,26,0,5,0,25,4,0,27,8219,2,0,7,2,0,8,6954,25,7,37,23,6,36,37970,212
0,0,1,26,0,8,2,7,8,2,9,12703,18,3,22,15,3,22,33392,0,0,0,0,0,0,0,221
0,0,1,26,0,17,6,24,17,6,22,25360,15,2,19,14,2,20,24954,25,8,29,26,8,28,47594,303
0,0,1,26,0,9,2,4,8,2,5,16265,5,0,1,5,0,1,10875,7,2,9,7,2,8,14579,203
1,0,0,39,0,2,0,7,2,0,8,3860,2,0,2,2,0,2,8418,20,2,20,20,2,19,41745,122
1,0,0,39,0,2,0,10,1,0,9,7944,3,0,10,2,0,11,11243,12,4,32,10,4,31,28432,121
1,0,0,39,0,13,2,16,11,2,14,17143,5,0,6,5,0,6,10314,10,2,15,9,2,16,19326,212
1,0,0,39,0,5,4,6,5,4,6,14542,3,1,6,3,1,6,13085,4,2,11,4,2,11,14665,221
1,0,0,39,0,16,5,30,14,5,32,19528,12,6,14,11,6,15,22237,7,0,13,6,0,13,12730,303
1,0,0,39,0,8,1,6,8,1,7,15162,10,1,7,9,1,8,17851,7,2,9,7,1,10,17354,203
0,0,0,35,1,12,10,40,11,10,38,61172,1,0,2,1,0,2,12781,12,3,17,12,3,19,40375,122
0,0,0,35,1,32,13,45,31,13,43,84702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
0,0,0,35,1,7,1,2,6,0,2,12000,7,3,19,7,3,19,27343,4,5,10,4,5,11,24328,212
0,0,0,35,1,30,13,37,28,13,37,74281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,0,35,1,4,0,5,4,0,6,12844,8,4,11,7,4,11,22515,8,4,15,8,4,15,28657,303
0,0,0,35,1,0,0,0,0,0,0,2688,6,0,6,6,0,6,13969,7,0,3,8,0,3,15406,203
0,0,0,35,1,4,1,4,4,1,4,11297,7,1,8,7,1,9,19796,9,4,11,8,4,11,25625,412
0,0,0,35,1,11,6,12,11,6,12,20344,14,6,16,13,5,15,28781,15,4,10,14,4,9,25046,221
0,0,1,33,0,12,6,12,12,6,10,13703,3,3,2,3,3,3,12500,11,4,5,11,4,5,18125,122
0,0,1,33,0,7,3,6,7,3,6,13687,3,1,2,3,1,2,7360,22,3,14,20,3,16,35125,121
0,0,1,33,0,21,3,15,18,2,16,21703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
